City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,stanley,54.868,-1.6985,2.01,84,100,3.09,GB,1709010487
1,port-aux-francais,-49.35,70.2167,6.07,69,4,5.32,TF,1709010488
2,college,64.8569,-147.8028,-13.82,54,75,2.06,US,1709010488
3,grytviken,-54.2811,-36.5092,-0.06,83,48,3.87,GS,1709010489
4,bethel,41.3712,-73.414,5.18,84,0,1.54,US,1709010489
5,aitape,-3.1374,142.3475,28.8,76,93,2.32,PG,1709010491
6,edinburgh of the seven seas,-37.0676,-12.3116,15.04,87,100,11.51,SH,1709010491
7,malaya vishera,58.8454,32.2222,1.41,99,100,3.2,RU,1709010492
8,new plymouth,-39.0667,174.0833,16.84,73,51,4.22,NZ,1709010492
9,invercargill,-46.4,168.35,15.57,87,90,3.13,NZ,1709010493
10,copainala,17.0833,-93.2,18.99,93,73,0.35,MX,1709010493
11,lebu,-37.6167,-73.65,13.14,93,12,4.65,CL,1709010494
12,adamstown,-25.066,-130.1015,25.61,80,100,5.13,PN,1709010494
13,kodiak,57.79,-152.4072,0.73,80,100,3.6,US,1709010495
14,ushuaia,-54.8,-68.3,9.89,98,27,2.83,AR,1709010495
15,nyurba,63.2842,118.3319,-19.76,91,94,3.31,RU,1709010496
16,anadyr,64.75,177.4833,-18.72,84,75,5.0,RU,1709010496
17,ixtapa,20.7,-105.2,19.74,88,9,1.41,MX,1709010497
18,carauari,-4.8828,-66.8958,21.59,99,100,0.88,BR,1709010497
19,ceeldheer,3.8488,47.1806,26.99,67,100,6.11,SO,1709010498
20,ataq,14.5377,46.8319,20.64,39,4,1.01,YE,1709010499
21,horta,38.5333,-28.6333,15.57,73,5,3.13,PT,1709010499
22,ilulissat,69.2167,-51.1,-17.99,65,75,0.0,GL,1709010500
23,atafu village,-8.5421,-172.5159,28.73,77,100,8.1,TK,1709010500
24,constantia,44.1833,28.65,4.38,92,100,4.34,RO,1709010262
25,puerto madero,14.7208,-92.4215,24.87,71,26,2.11,MX,1709010029
26,lihue,21.9789,-159.3672,22.58,76,40,9.26,US,1709010502
27,west island,-12.1568,96.8225,28.41,73,20,5.01,CC,1709010502
28,iqaluit,63.7506,-68.5145,-33.1,92,64,2.27,CA,1709010502
29,parsabad,39.6482,47.9174,0.43,64,1,0.94,IR,1709010503
30,touros,-5.1989,-35.4608,25.3,89,68,2.75,BR,1709010503
31,port elizabeth,-33.918,25.5701,16.29,79,72,1.14,ZA,1709010504
32,walvis bay,-22.9575,14.5053,15.61,87,8,3.29,NA,1709010504
33,puerto ayora,-0.7393,-90.3518,26.42,90,66,2.24,EC,1709010505
34,avarua,-21.2078,-159.775,29.03,84,20,2.06,CK,1709010505
35,port mathurin,-19.6833,63.4167,25.74,71,23,6.56,MU,1709010506
36,bredasdorp,-34.5322,20.0403,15.85,74,0,5.36,ZA,1709010506
37,waitangi,-43.9535,-176.5597,16.57,97,100,1.79,NZ,1709010506
38,thinadhoo,0.5333,72.9333,28.33,78,100,5.38,MV,1709010507
